=============== RESTART: C:/Users/蔡弘祥/Desktop/普物程式/HW3/HW3.py ==============
第 1 次的週期約為 6504 天;目前平均約為 6504 天
第 2 次的週期約為 6426 天;目前平均約為 6465 天
第 3 次的週期約為 6516 天;目前平均約為 6482 天
第 4 次的週期約為 6432 天;目前平均約為 6470 天
第 5 次的週期約為 6513 天;目前平均約為 6478 天
第 6 次的週期約為 6517 天;目前平均約為 6485 天
第 7 次的週期約為 6428 天;目前平均約為 6477 天
第 8 次的週期約為 6517 天;目前平均約為 6482 天
第 9 次的週期約為 6520 天;目前平均約為 6486 天
第 10 次的週期約為 6426 天;目前平均約為 6480 天
第 11 次的週期約為 6516 天;目前平均約為 6483 天
第 12 次的週期約為 6431 天;目前平均約為 6479 天
第 13 次的週期約為 6515 天;目前平均約為 6482 天
第 14 次的週期約為 6518 天;目前平均約為 6484 天
第 15 次的週期約為 6428 天;目前平均約為 6480 天
第 16 次的週期約為 6523 天;目前平均約為 6483 天
第 17 次的週期約為 6520 天;目前平均約為 6485 天
第 18 次的週期約為 6424 天;目前平均約為 6482 天
第 19 次的週期約為 6516 天;目前平均約為 6484 天
第 20 次的週期約為 6432 天;目前平均約為 6481 天
第 21 次的週期約為 6514 天;目前平均約為 6483 天
第 22 次的週期約為 6518 天;目前平均約為 6484 天
第 23 次的週期約為 6428 天;目前平均約為 6482 天
第 24 次的週期約為 6517 天;目前平均約為 6483 天
第 25 次的週期約為 6521 天;目前平均約為 6485 天
第 26 次的週期約為 6424 天;目前平均約為 6482 天
第 27 次的週期約為 6516 天;目前平均約為 6484 天
第 28 次的週期約為 6430 天;目前平均約為 6482 天
第 29 次的週期約為 6516 天;目前平均約為 6483 天
第 30 次的週期約為 6519 天;目前平均約為 6484 天
第 31 次的週期約為 6427 天;目前平均約為 6482 天
第 32 次的週期約為 6518 天;目前平均約為 6483 天
第 33 次的週期約為 6528 天;目前平均約為 6485 天
第 34 次的週期約為 6423 天;目前平均約為 6483 天
第 35 次的週期約為 6516 天;目前平均約為 6484 天
第 36 次的週期約為 6430 天;目前平均約為 6482 天
第 37 次的週期約為 6517 天;目前平均約為 6483 天
第 38 次的週期約為 6518 天;目前平均約為 6484 天
第 39 次的週期約為 6427 天;目前平均約為 6483 天
第 40 次的週期約為 6517 天;目前平均約為 6484 天
第 41 次的週期約為 6434 天;目前平均約為 6482 天
第 42 次的週期約為 6512 天;目前平均約為 6483 天
第 43 次的週期約為 6516 天;目前平均約為 6484 天
第 44 次的週期約為 6429 天;目前平均約為 6483 天
第 45 次的週期約為 6516 天;目前平均約為 6483 天
第 46 次的週期約為 6519 天;目前平均約為 6484 天
第 47 次的週期約為 6427 天;目前平均約為 6483 天
第 48 次的週期約為 6517 天;目前平均約為 6484 天
第 49 次的週期約為 6440 天;目前平均約為 6483 天
第 50 次的週期約為 6505 天;目前平均約為 6483 天
第 51 次的週期約為 6522 天;目前平均約為 6484 天
第 52 次的週期約為 6429 天;目前平均約為 6483 天
第 53 次的週期約為 6518 天;目前平均約為 6484 天
